Grupės pav.,Amžiaus grupė,Grupių sk.,Vietų sk.,Laisvos vietos,Mokslo metai
Kauno lopšelis-darželis „Klumpelė“,,,,,
Linelis,darželio,-,24,24,2019-2020
Saulutė,priešmokyklinė,-,24,24,2019-2020
Varpelis,darželio,-,22,22,2019-2020
Žilvitis,darželio,-,25,25,2019-2020
Iš viso: Kauno lopšelis-darželis „Klumpelė“,4,95,95,-,
Kauno „Varpelio“ pradinė mokykla,,,,,
Priešmokyklinė grupės 2019-2019 m. m.,priešmokyklinė,-,20,20,2019-2020
Iš viso: Kauno „Varpelio“ pradinė mokykla,1,20,20,-,
Kauno mokykla-darželis „Rūtelė“,,,,,
Gudručių,priešmokyklinė,-,20,11,2019-2020
Pelėdžiukų,priešmokyklinė,-,20,11,2019-2020
Nykštukų,darželio,-,20,3,2019-2020
Iš viso: Kauno mokykla-darželis „Rūtelė“,3,60,25,-,
Kauno lopšelis-darželis „Žingsnelis“,,,,,
Ežiukų,lopšelio,-,15,14,2019-2020
Pelėdžiukų,lopšelio,-,15,13,2019-2020
Boružiukų,lopšelio,-,15,9,2019-2020
Lapiukų,darželio,-,20,0,2019-2020
Voveriukų,darželio,-,20,1,2019-2020
Drugelių,darželio,-,20,0,2019-2020
Zuikučių,darželio,-,20,0,2019-2020
Bitučių,darželio,-,23,0,2019-2020
Gandriukų,darželio,-,22,0,2019-2020
Giliukų,priešmokyklinė,-,19,0,2019-2020
Meškučių,priešmokyklinė,-,20,0,2019-2020
Iš viso: Kauno lopšelis-darželis „Žingsnelis“,11,209,37,-,
