Grupės pav.,Amžiaus grupė,Grupių sk.,Vietų sk.,Laisvos vietos,Mokslo metai
Kauno Motiejaus Valančiaus mokykla - darželis,,,,,
Priešmokyklinio ugdymo klasė,priešmokyklinė,-,15,0,2017-2018
Tigriukai,darželio,-,24,2,2017-2018
Katinėliai,lopšelio,-,15,2,2017-2018
Iš viso: Kauno Motiejaus Valančiaus mokykla - darželis,3,54,4,-,
Kauno Žaliakalnio lopšelis-darželis (Vaistinės skg. 8),,,,,
Katinukų,darželio,-,19,2,2017-2018
",,Žiogelių""",darželio,-,19,1,2017-2018
Iš viso: Kauno Žaliakalnio lopšelis-darželis (Vaistinės skg. 8),2,38,3,-,
Kauno lopšelis-darželis „Malūnėlis“,,,,,
Kiškučių,darželio,-,12,0,2017-2018
Lapiukų gr.,lopšelio,-,15,1,2017-2018
Ežiukų gr.,priešmokyklinė,-,20,9,2017-2018
Bitučių gr.,darželio,-,19,4,2017-2018
Pelėdžiukų gr.,darželio,-,19,0,2017-2018
Nykštukų gr.,lopšelio,-,15,0,2017-2018
Voveriukų gr.,darželio,-,19,4,2017-2018
Drugelių gr.,darželio,-,19,3,2017-2018
Meškučių gr.,darželio,-,19,3,2017-2018
Saulučių gr.,priešmokyklinė,-,20,8,2017-2018
Boružėlių gr.,darželio,-,19,1,2017-2018
Iš viso: Kauno lopšelis-darželis „Malūnėlis“,11,196,33,-,
Kauno sanatorinis lopšelis-darželis „Pienė“,,,,,
Kiškučiai,lopšelio,-,17,0,2017-2018
Stirniukai,priešmokyklinė,-,20,17,2017-2018
Ežiukai,darželio,-,23,2,2017-2018
Voveriukai,darželio,-,20,1,2017-2018
Gandriukai,darželio,-,20,0,2017-2018
Iš viso: Kauno sanatorinis lopšelis-darželis „Pienė“,5,100,20,-,
Kauno mokykla-darželis „Rūtelė“,,,,,
Nykštukų,darželio,-,21,0,2017-2018
Pelėdžiukų,darželio,-,20,0,2017-2018
Priešmokyklinė,priešmokyklinė,-,27,0,2017-2018
Iš viso: Kauno mokykla-darželis „Rūtelė“,3,68,0,-,
Kauno lopšelis-darželis „Naminukas“,,,,,
",,Meškiukai""",darželio,-,19,1,2017-2018
",,Viščiukai""",lopšelio,-,15,1,2017-2018
",,Bitutės""",darželio,-,20,1,2017-2018
",,Kačiukai""",lopšelio,-,12,0,2017-2018
",,Pelėdžiukai""",darželio,-,19,2,2017-2018
",,Beždžioniukai""",darželio,-,20,2,2017-2018
",,Varliukai""",priešmokyklinė,-,20,7,2017-2018
",,Ežiukai""",lopšelio,-,17,3,2017-2018
",,Smalsučiai""",priešmokyklinė,-,19,9,2017-2018
",,Boružiukai""",darželio,-,21,2,2017-2018
Iš viso: Kauno lopšelis-darželis „Naminukas“,10,182,28,-,
Kauno Šančių mokykla-daugiafunkcis centras,,,,,
Bitutės,darželio,-,20,12,2017-2018
Ežiukai,darželio,-,20,12,2017-2018
Boružėlės,darželio,-,17,10,2017-2018
Drugeliai,lopšelio,-,15,1,2017-2018
Iš viso: Kauno Šančių mokykla-daugiafunkcis centras,4,72,35,-,
Kauno Žaliakalnio lopšelis-darželis,,,,,
Žvaigždelės,priešmokyklinė,-,20,0,2017-2018
Mažieji talentai,lopšelio,-,15,0,2017-2018
Vaivorykštė,darželio,-,20,2,2017-2018
Žiedelių,darželio,-,19,0,2017-2018
Žiburėliai,darželio,-,20,1,2017-2018
Spindulėliai,darželio,-,20,1,2017-2018
Iš viso: Kauno Žaliakalnio lopšelis-darželis,6,114,4,-,
Kauno lopšelis-darželis „Dobilėlis“,,,,,
Boružėlės gr.,lopšelio,-,15,0,2017-2018
Paukštelių gr.,darželio,-,20,2,2017-2018
Saulutės gr.,darželio,-,20,1,2017-2018
Žirniukų gr.,darželio,-,20,1,2017-2018
Smalsučių gr.,darželio,-,20,2,2017-2018
Čiauškučių gr.,priešmokyklinė,-,20,0,2017-2018
Iš viso: Kauno lopšelis-darželis „Dobilėlis“,6,115,6,-,
Kauno Šančių lopšelis-darželis,,,,,
žiniukai,priešmokyklinė,-,24,2,2017-2018
Smalsučiai,priešmokyklinė,-,24,3,2017-2018
Drambliukai,darželio,-,24,0,2017-2018
Ančiukai,darželio,-,25,3,2017-2018
Voveriukai,darželio,-,23,0,2017-2018
Boružiukai,darželio,-,24,3,2017-2018
Meškiukai,darželio,-,24,5,2017-2018
Pelėdžiukai,darželio,-,23,1,2017-2018
Žirniukai,lopšelio,-,18,5,2017-2018
Ežiukai,lopšelio,-,18,0,2017-2018
Nykštukai,lopšelio,-,18,2,2017-2018
Iš viso: Kauno Šančių lopšelis-darželis,11,245,24,-,
Kauno lopšelis-darželis „Girstutis“,,,,,
Varpelis,lopšelio,-,15,0,2017-2018
Vyturėlis,lopšelio,-,15,0,2017-2018
Ramunėlė,darželio,-,19,0,2017-2018
Ąžuolėlis,darželio,-,19,2,2017-2018
Rūtelė,darželio,-,19,1,2017-2018
Saulutė,darželio,-,20,2,2017-2018
Linelis,darželio,-,19,0,2017-2018
