Grupės pav.,Amžiaus grupė,Grupių sk.,Vietų sk.,Laisvos vietos,Mokslo metai
Kauno Žaliakalnio lopšelis-darželis (Vaistinės skg. 8),,,,,
Katinukų,darželio,-,19,2,2018-2019
",,Žiogelių""",darželio,-,19,0,2018-2019
Iš viso: Kauno Žaliakalnio lopšelis-darželis (Vaistinės skg. 8),2,38,2,-,
Kauno mokykla-darželis „Rūtelė“,,,,,
Nykštukų,darželio,-,22,0,2018-2019
Gudručių,priešmokyklinė,-,20,0,2018-2019
Pelėdžiukų,priešmokyklinė,-,24,0,2018-2019
Iš viso: Kauno mokykla-darželis „Rūtelė“,3,66,0,-,
Kauno lopšelis-darželis „Gintarėlis“,,,,,
Mažylių,lopšelio,-,16,0,2018-2019
Pelyčių,lopšelio,-,16,0,2018-2019
Skruzdėlyčių,darželio,-,22,0,2018-2019
Pelėdžiukų,darželio,-,22,0,2018-2019
Bitučių,priešmokyklinė,-,21,0,2018-2019
Kiškučių,priešmokyklinė,-,20,0,2018-2019
Drugelių,priešmokyklinė,-,23,0,2018-2019
Viščiukų,darželio,-,20,0,2018-2019
Nykštukų,darželio,-,23,0,2018-2019
Boružėlių,darželio,-,23,0,2018-2019
Meškučių,darželio,-,21,0,2018-2019
Žvirbliukų,darželio,-,21,0,2018-2019
Iš viso: Kauno lopšelis-darželis „Gintarėlis“,12,248,0,-,
Kauno Panemunės lopšelis-darželis,,,,,
Aguonos,darželio,-,20,0,2018-2019
Dobiliukai,priešmokyklinė,-,23,3,2018-2019
Ramunės,priešmokyklinė,-,21,0,2018-2019
Saulutės,lopšelio,-,15,0,2018-2019
Rugiagėlės,darželio,-,20,1,2018-2019
Pakalnutės,darželio,-,20,2,2018-2019
Šalpusniai,lopšelio,-,15,0,2018-2019
Žibuoklės,darželio,-,20,0,2018-2019
Pienės,darželio,-,20,0,2018-2019
Saulėgrąžos,darželio,-,20,2,2018-2019
Rūtos,lopšelio,-,15,0,2018-2019
Varpeliai,lopšelio,-,11,0,2018-2019
Iš viso: Kauno Panemunės lopšelis-darželis,12,220,8,-,
Kauno lopšelis-darželis „Žingsnelis“,,,,,
Ežiukų,lopšelio,-,16,0,2018-2019
Drugelių,darželio,-,20,0,2018-2019
Zuikučių,darželio,-,20,0,2018-2019
Gandriukų,darželio,-,20,0,2018-2019
Bitučių,darželio,-,20,0,2018-2019
Lapiukų,darželio,-,20,0,2018-2019
Voveriukų,darželio,-,20,0,2018-2019
Giliukų,priešmokyklinė,-,20,0,2018-2019
Meškučių,priešmokyklinė,-,21,0,2018-2019
Boružiukų,lopšelio,-,15,0,2018-2019
Pelėdžiukų,lopšelio,-,14,0,2018-2019
Iš viso: Kauno lopšelis-darželis „Žingsnelis“,11,206,0,-,
Kauno vaikų darželis „Raudonkepuraitė“,,,,,
"„KIŠKUČIŲ""",darželio,-,18,0,2018-2019
"„NYKŠTUKŲ""",darželio,-,18,0,2018-2019
"„SAULYČIŲ""",darželio,-,18,0,2018-2019
"„MEŠKUČIŲ""",priešmokyklinė,-,18,0,2018-2019
Iš viso: Kauno vaikų darželis „Raudonkepuraitė“,4,72,0,-,
Kauno sanatorinis lopšelis-darželis „Pienė“,,,,,
Kiškučiai,lopšelio,-,16,0,2018-2019
Ežiukai,darželio,-,20,0,2018-2019
Gandriukai,darželio,-,20,0,2018-2019
Voveriukai,darželio,-,21,1,2018-2019
Stirniukų,priešmokyklinė,-,21,0,2018-2019
Iš viso: Kauno sanatorinis lopšelis-darželis „Pienė“,5,98,1,-,
Kauno Šančių lopšelis-darželis,,,,,
Smalsučiai,priešmokyklinė,-,23,0,2018-2019
Žiniukai,priešmokyklinė,-,23,0,2018-2019
Boružiukai,darželio,-,23,1,2018-2019
Voveriukai,darželio,-,24,0,2018-2019
Ančiukai,darželio,-,23,0,2018-2019
Pelėdžiukai,darželio,-,23,1,2018-2019
Meškiukai,darželio,-,23,0,2018-2019
Drambliukai,darželio,-,23,0,2018-2019
Ežiukai,lopšelio,-,17,1,2018-2019
Nykštukai,lopšelio,-,17,0,2018-2019
Žirniukai,lopšelio,-,16,0,2018-2019
Iš viso: Kauno Šančių lopšelis-darželis,11,235,3,-,
Kauno lopšelis-darželis „Volungėlė“,,,,,
Žvirbliukai,darželio,-,22,0,2018-2019
Gandriukai,darželio,-,23,0,2018-2019
Viščiukai,lopšelio,-,16,0,2018-2019
Geniukai,darželio,-,21,0,2018-2019
Papūgiukai,darželio,-,23,0,2018-2019
Ančiukai,darželio,-,18,0,2018-2019
