Grupės pav.,Amžiaus grupė,Grupių sk.,Vietų sk.,Laisvos vietos,Mokslo metai
Kauno lopšelis-darželis „Obelėlė“,,,,,
Mažyliai,lopšelio,-,18,1,2016-2017
Baravykai,darželio,-,23,0,2016-2017
Ąžuoliukai,darželio,-,22,5,2016-2017
Obuoliukai,priešmokyklinė,-,22,2,2016-2017
Iš viso: Kauno lopšelis-darželis „Obelėlė“,4,85,8,-,
Kauno lopšelis-darželis „Žvangutis“,,,,,
"„Meškučių"" grupė",darželio,-,23,0,2016-2017
"„Kiškučių"" grupė",priešmokyklinė,-,22,0,2016-2017
"„Boružėlių"" grupė",darželio,-,23,0,2016-2017
"„Drugelių"" grupė",priešmokyklinė,-,22,1,2016-2017
"„Gandriukai""",lopšelio,-,18,1,2016-2017
"„Ežiukai""",lopšelio,-,17,0,2016-2017
"„Pelėdžiukai""",darželio,-,22,0,2016-2017
"„Bitutės""",darželio,-,23,0,2016-2017
"„Varlytės""",darželio,-,20,0,2016-2017
"„Žiogeliai""",darželio,-,21,0,2016-2017
Šarkiukų grupė,priešmokyklinė,-,20,1,2016-2017
"„Katinukai""",darželio,-,22,0,2016-2017
Iš viso: Kauno lopšelis-darželis „Žvangutis“,12,253,3,-,
Kauno lopšelis-darželis „Linelis“,,,,,
Gandriukai,darželio,-,18,0,2016-2017
Drugelis,darželio,-,18,6,2016-2017
Kiškučiai,lopšelio,-,15,2,2016-2017
Giliukai,lopšelio,-,15,2,2016-2017
Ančiukai,lopšelio,-,15,1,2016-2017
Bitutės,darželio,-,18,0,2016-2017
Saulutė,darželio,-,18,1,2016-2017
Linas,darželio,-,18,0,2016-2017
"M.Montessori ,,Boružėlių""",darželio,-,20,3,2016-2017
"M.Montessori ,,Smalsučių""",darželio,-,20,5,2016-2017
Pelėdžiukai,priešmokyklinė,-,18,17,2016-2017
Iš viso: Kauno lopšelis-darželis „Linelis“,11,193,37,-,
Kauno Jono ir Petro Vileišių mokykla,,,,,
Saulutė,darželio,-,25,3,2016-2017
Boružėlė,darželio,-,25,4,2016-2017
Bitutė,darželio,-,25,4,2016-2017
Skruzdėlytė,darželio,-,25,4,2016-2017
Gudručiai,priešmokyklinė,-,19,0,2016-2017
Smalsučiai,priešmokyklinė,-,19,0,2016-2017
Žiniukai,priešmokyklinė,-,19,1,2016-2017
Pelėdžiukai,darželio,-,20,1,2016-2017
Kodėlčiukai,priešmokyklinė,-,19,2,2016-2017
Iš viso: Kauno Jono ir Petro Vileišių mokykla,9,196,19,-,
Kauno Žaliakalnio lopšelis-darželis (Vaistinės skg. 8),,,,,
 Katinukų,darželio,-,19,0,2016-2017
Žiogelių,darželio,-,19,0,2016-2017
Iš viso: Kauno Žaliakalnio lopšelis-darželis (Vaistinės skg. 8),2,38,0,-,
Kauno lopšelis-darželis „Mažylis“,,,,,
Bitutės,darželio,-,19,0,2016-2017
Drugeliai,darželio,-,20,1,2016-2017
Ežiukai,darželio,-,20,1,2016-2017
Kiškiukai,darželio,-,19,1,2016-2017
Saulutės,lopšelio,-,15,2,2016-2017
Viščiukai,lopšelio,-,15,3,2016-2017
Pelėdžiukai,darželio,-,18,0,2016-2017
Nykštukai,darželio,-,18,1,2016-2017
Liūtukai,priešmokyklinė,-,20,2,2016-2017
Meškiukai,priešmokyklinė,-,20,2,2016-2017
Boružėlės,lopšelio,-,10,1,2016-2017
Iš viso: Kauno lopšelis-darželis „Mažylis“,11,194,14,-,
Kauno lopšelis-darželis „Židinėlis“,,,,,
Rudnosiukai,lopšelio,-,16,0,2016-2017
Kodėlčiukai,lopšelio,-,16,1,2016-2017
Žvirbliukai,lopšelio,-,16,1,2016-2017
Žiogeliai,darželio,-,21,0,2016-2017
Žirniukai,darželio,-,21,0,2016-2017
Nykštukai,darželio,-,21,5,2016-2017
Pelėdžiukai,darželio,-,21,1,2016-2017
Voveriukai,darželio,-,21,21,2016-2017
Smalsučiai,darželio,-,21,3,2016-2017
Pumpurėliai,darželio,-,21,0,2016-2017
Žiniukų mokyklėlė,priešmokyklinė,-,21,21,2016-2017
Zuikučiai,darželio,-,20,6,2016-2017
Iš viso: Kauno lopšelis-darželis „Židinėlis“,12,236,59,-,
Kauno lopšelis-darželis „Klumpelė“,,,,,
Giliukas,lopšelio,-,18,0,2016-2017
Žilvitis,priešmokyklinė,-,23,0,2016-2017
Saulutė,darželio,-,23,0,2016-2017
Pagrandukas,darželio,-,25,0,2016-2017
Varpelis,darželio,-,25,0,2016-2017
Linelis,darželio,-,25,0,2016-2017
Iš viso: Kauno lopšelis-darželis „Klumpelė“,6,139,0,-,
Kauno mokykla-darželis „Rūtelė“,,,,,
Priešmokyklinė,priešmokyklinė,-,25,0,2016-2017
Nykštukų,darželio,-,25,0,2016-2017
Pelėdžiukų,priešmokyklinė,-,25,2,2016-2017
Iš viso: Kauno mokykla-darželis „Rūtelė“,3,75,2,-,
