Grupės pav.,Amžiaus grupė,Grupių sk.,Vietų sk.,Laisvos vietos,Mokslo metai
Kauno lopšelis-darželis „Aušrinė“,,,,,
Kūdikiai,lopšelio,-,7,0,2016-2017
Žiogeliai,lopšelio,-,17,0,2016-2017
Saulės zuikučiai,lopšelio,-,17,0,2016-2017
Kūlverstukai,darželio,-,24,0,2016-2017
Kibildukai,darželio,-,23,0,2016-2017
Meškučiai,darželio,-,24,0,2016-2017
Žiedeliai,priešmokyklinė,-,22,0,2016-2017
Vaivorykštė,darželio,-,23,0,2016-2017
Pumpurėliai,darželio,-,23,0,2016-2017
Smalsučiai,priešmokyklinė,-,23,0,2016-2017
Bitutė,darželio,-,23,0,2016-2017
Voveriukai,priešmokyklinė,-,23,0,2016-2017
Saulutė,darželio,-,23,0,2016-2017
Iš viso: Kauno lopšelis-darželis „Aušrinė“,13,272,0,-,
"Kauno lopšelis-darželis ""Ežiukas""",,,,,
Kaštonėlių,darželio,-,21,0,2016-2017
Riešutėlių,lopšelio,-,13,10,2016-2017
Ąžuoliukų,priešmokyklinė,-,16,0,2016-2017
Berželių,darželio,-,18,0,2016-2017
Klevelių,darželio,-,22,0,2016-2017
Šermukšnėlių,darželio,-,21,0,2016-2017
"Iš viso: Kauno lopšelis-darželis ""Ežiukas""",6,111,10,-,
Kauno „Varpelio“ pradinė mokykla,,,,,
Priešmokyklinė_2016_2017,priešmokyklinė,-,20,0,2016-2017
Iš viso: Kauno „Varpelio“ pradinė mokykla,1,20,0,-,
Kauno Aleksoto lopšelis-darželis,,,,,
Boružiukai,lopšelio,-,15,0,2016-2017
Žiogeliai,lopšelio,-,15,0,2016-2017
M.Montessori,darželio,-,21,0,2016-2017
Smalsuciai,priešmokyklinė,-,21,0,2016-2017
Vikruoliai,darželio,-,21,0,2016-2017
Kodėlčiukai,darželio,-,20,0,2016-2017
Ramtatuliai,darželio,-,21,0,2016-2017
Dainorėliai,darželio,-,21,0,2016-2017
Gudručiai,priešmokyklinė,-,21,0,2016-2017
Spalviukai,darželio,-,21,0,2016-2017
Pasakaitė,darželio,-,21,0,2016-2017
Žiniukai,darželio,-,20,0,2016-2017
Iš viso: Kauno Aleksoto lopšelis-darželis,12,238,0,-,
Kauno lopšelis-darželis „Malūnėlis“,,,,,
Kiškučių gr.,darželio,-,19,8,2016-2017
Bitučių gr.,darželio,-,19,2,2016-2017
Voveriukų gr.,darželio,-,19,1,2016-2017
Pelėdžiukų,darželio,-,19,4,2016-2017
Drugelių gr.,darželio,-,19,5,2016-2017
Meškiukų gr.,darželio,-,19,0,2016-2017
Boružėlių gr.,darželio,-,19,2,2016-2017
Lapiukų gr.,lopšelio,-,15,0,2016-2017
Nykštukų gr.,lopšelio,-,15,0,2016-2017
Saulučių gr.,priešmokyklinė,-,20,13,2016-2017
Ežiukų gr.,priešmokyklinė,-,20,9,2016-2017
Iš viso: Kauno lopšelis-darželis „Malūnėlis“,11,203,44,-,
Kauno lopšelis-darželis „Girstutis“,,,,,
Varpelis,lopšelio,-,15,0,2016-2017
Vyturėlis,lopšelio,-,15,0,2016-2017
Rūtelė,darželio,-,19,2,2016-2017
Dobilėlis,priešmokyklinė,-,19,14,2016-2017
Ramunėlė,darželio,-,19,2,2016-2017
Linelis,darželio,-,19,0,2016-2017
Rugelis,darželio,-,20,1,2016-2017
Tulpytė,priešmokyklinė,-,19,15,2016-2017
Saulutė,darželio,-,20,0,2016-2017
Ąžuolėlis,darželio,-,19,1,2016-2017
Iš viso: Kauno lopšelis-darželis „Girstutis“,10,184,35,-,
Kauno lopšelis-darželis „Giliukas“,,,,,
"1 gr. ""Nykštukų""",lopšelio,-,16,0,2016-2017
"5 gr. ""Pelėdžiukų""",priešmokyklinė,-,23,0,2016-2017
"3 gr. ""Drugelių""",darželio,-,10,0,2016-2017
"4 gr. ""Aitvariukų""",darželio,-,10,1,2016-2017
"6 gr. ""Boružiukų""",darželio,-,21,0,2016-2017
"2 gr. ""Girinukų""",darželio,-,20,0,2016-2017
"7 gr. ""Bitučių""",darželio,-,21,0,2016-2017
"8 gr. ""Smalsučių""",priešmokyklinė,-,22,0,2016-2017
"9 gr. ""Saulučių""",darželio,-,21,0,2016-2017
"10 gr. ""Zuikučių""",darželio,-,21,1,2016-2017
"11 gr. ""Ežiukų""",priešmokyklinė,-,23,0,2016-2017
"12 gr. ""Žiogelių""",darželio,-,10,0,2016-2017
"13 gr. ""Žirniukų""",lopšelio,-,15,0,2016-2017
Iš viso: Kauno lopšelis-darželis „Giliukas“,13,233,2,-,
Kauno lopšelis-darželis „Žara“,,,,,
Nykštukai,lopšelio,-,15,0,2016-2017
Ančiukai,lopšelio,-,15,1,2016-2017
Pumpurėliai,lopšelio,-,15,1,2016-2017
Drugeliai,darželio,-,19,0,2016-2017
Kiškučiai,darželio,-,19,2,2016-2017
Paukšteliai,darželio,-,19,0,2016-2017
Kodėlčiukai,darželio,-,19,0,2016-2017
Pabiručiai,darželio,-,19,0,2016-2017
Smalsučiai,priešmokyklinė,-,19,0,2016-2017
Ežiukai,priešmokyklinė,-,25,3,2016-2017
Iš viso: Kauno lopšelis-darželis „Žara“,10,184,7,-,
Kauno vaikų darželis „Raudonkepuraitė“,,,,,
"„SAULYČIŲ""",darželio,-,18,2,2016-2017
"„KIŠKUČIŲ""",darželio,-,18,0,2016-2017
"„NYKŠTUKŲ""",darželio,-,18,0,2016-2017
"„MEŠKUČIŲ""",priešmokyklinė,-,18,16,2016-2017
Iš viso: Kauno vaikų darželis „Raudonkepuraitė“,4,72,18,-,
Kauno lopšelis-darželis „Atžalėlė“,,,,,
",,Berželis""",priešmokyklinė,-,20,0,2016-2017
",,Klevelis""",darželio,-,20,1,2016-2017
",,Liepaitė""",darželio,-,20,0,2016-2017
",,Ąžuoliukas""",darželio,-,20,0,2016-2017
",,Pušaitė""",lopšelio,-,15,3,2016-2017
",,Eglaitė""",darželio,-,20,4,2016-2017
Iš viso: Kauno lopšelis-darželis „Atžalėlė“,6,115,8,-,
Kauno lopšelis-darželis „Žingsnelis“,,,,,
Boružiukų,lopšelio,-,15,0,2016-2017
Ežiukų,lopšelio,-,15,0,2016-2017
Pelėdžiukų,lopšelio,-,16,0,2016-2017
Gandiukų,darželio,-,21,0,2016-2017
Bitučių,darželio,-,21,0,2016-2017
Lapiukų,darželio,-,23,0,2016-2017
Voveriukų,darželio,-,23,0,2016-2017
Zuikučių,darželio,-,20,0,2016-2017
Drugelių,darželio,-,25,0,2016-2017
Giliukų,priešmokyklinė,-,24,0,2016-2017
Meškučių,priešmokyklinė,-,23,0,2016-2017
Iš viso: Kauno lopšelis-darželis „Žingsnelis“,11,226,0,-,
Kauno lopšelis-darželis „Naminukas“,,,,,
",,Viščiukai""",lopšelio,-,15,0,2016-2017
",,Kačiukai""",lopšelio,-,15,1,2016-2017
",,Ežiukai""",darželio,-,20,2,2016-2017
",,Boružiukai""",priešmokyklinė,-,20,0,2016-2017
",,Varliukai""",darželio,-,20,2,2016-2017
",,Pelėdžiukai""",darželio,-,19,0,2016-2017
",,Skudurinė Onutė""",priešmokyklinė,-,19,1,2016-2017
",,Beždžioniukai""",darželio,-,20,3,2016-2017
",,Meškiukai""",darželio,-,19,0,2016-2017
",,Bitutės""",darželio,-,20,3,2016-2017
Iš viso: Kauno lopšelis-darželis „Naminukas“,10,187,12,-,
"Kauno ,,Ryto"" pradinė mokykla",,,,,
Priešmokyklinio ugdymo grupė,priešmokyklinė,-,0,0,2016-2017
"Iš viso: Kauno ,,Ryto"" pradinė mokykla",1,0,0,-,
Kauno lopšelis-darželis „Vyturėlis“,,,,,
Ančiukų grupė,lopšelio,-,15,0,2016-2017
Žvirbliukų grupė,lopšelio,-,16,1,2016-2017
Kiškučių grupė,priešmokyklinė,-,21,4,2016-2017
Viščiukų grupė,darželio,-,20,0,2016-2017
Voveriukų grupė,darželio,-,22,0,2016-2017
Meškučių grupė,priešmokyklinė,-,20,0,2016-2017
Kačiukų grupė,priešmokyklinė,-,20,0,2016-2017
Stirniukų grupė,darželio,-,20,3,2016-2017
Iš viso: Kauno lopšelis-darželis „Vyturėlis“,8,154,8,-,
Kauno lopšelis-darželis „Šilinukas“,,,,,
Pumpurėliai,lopšelio,-,15,0,2016-2017
Saulutės,darželio,-,20,3,2016-2017
Boružėlės,darželio,-,20,2,2016-2017
Vyturėlis,priešmokyklinė,-,20,1,2016-2017
Riešutėliai,priešmokyklinė,-,20,0,2016-2017
Saulės zuikučiai,darželio,-,20,1,2016-2017
Iš viso: Kauno lopšelis-darželis „Šilinukas“,6,115,7,-,
Kauno lopšelis-darželis „Dvarelis“,,,,,
Smalsučiai,darželio,-,22,1,2016-2017
Žiniukai,priešmokyklinė,-,21,13,2016-2017
Iš viso: Kauno lopšelis-darželis „Dvarelis“,2,43,14,-,
Kauno lopšelis-darželis „Saulutė“,,,,,
Gintarėliai,priešmokyklinė,-,20,1,2016-2017
Spindulėliai,priešmokyklinė,-,20,1,2016-2017
Bitutės,lopšelio,-,15,0,2016-2017
Boružėlės,darželio,-,20,0,2016-2017
Drugeliai,darželio,-,20,2,2016-2017
Skruzdėliukai,lopšelio,-,15,1,2016-2017
Nykštukų,darželio,-,20,0,2016-2017
Žirniukai,darželio,-,20,3,2016-2017
Meškučiai,lopšelio,-,15,0,2016-2017
Kiškučiai,darželio,-,20,1,2016-2017
Smalsiukai,darželio,-,20,0,2016-2017
Iš viso: Kauno lopšelis-darželis „Saulutė“,11,205,9,-,
Kauno lopšelis-darželis „Gandriukas“,,,,,
VOLUNGĖLIŲ,darželio,-,21,0,2016-2017
ZYLUČIŲ,darželio,-,21,0,2016-2017
ANČIUKŲ,lopšelio,-,15,0,2016-2017
GENELIŲ,priešmokyklinė,-,21,19,2016-2017
VYTURĖLIŲ,priešmokyklinė,-,21,21,2016-2017
STRAZDELIŲ,darželio,-,21,1,2016-2017
PELĖDŽIUKŲ,priešmokyklinė,-,21,13,2016-2017
NYKŠTUKŲ,darželio,-,21,2,2016-2017
LAKŠTUČIŲ,darželio,-,21,1,2016-2017
KREGŽDUČIŲ,darželio,-,21,2,2016-2017
GULBIUKŲ,darželio,-,21,0,2016-2017
Iš viso: Kauno lopšelis-darželis „Gandriukas“,11,225,59,-,
Kauno Šančių lopšelis-darželis,,,,,
Nykštukai,lopšelio,-,17,2,2016-2017
Ežiukai,lopšelio,-,18,0,2016-2017
Boružiukai,darželio,-,23,4,2016-2017
Voveriukai,darželio,-,23,1,2016-2017
Ančiukai,darželio,-,24,3,2016-2017
Drambliukai,darželio,-,23,2,2016-2017
Pelėdžiukai,darželio,-,25,3,2016-2017
Meškiukai,darželio,-,22,2,2016-2017
Žiniukai,priešmokyklinė,-,24,2,2016-2017
Smalsučiai,priešmokyklinė,-,25,0,2016-2017
Žirniukai,lopšelio,-,17,1,2016-2017
Iš viso: Kauno Šančių lopšelis-darželis,11,241,20,-,
Kauno lopšelis-darželis „Rokutis“,,,,,
Ančiukų grupė,lopšelio,-,15,0,2016-2017
Drugelių grupė,priešmokyklinė,-,25,0,2016-2017
Bitučių grupė,darželio,-,25,0,2016-2017
"Boružėlių"" grupė	darželio	-	25	0	2016-2017
Nykštukų"" grupė",darželio,-,25,0,2016-2017
Pelėdžiukų grupė,priešmokyklinė,-,25,0,2016-2017
Iš viso: Kauno lopšelis-darželis „Rokutis“,6,140,0,-,
Kauno lopšelis-darželis „Bitutė“,,,,,
Nykštukų gr.,lopšelio,-,18,6,2016-2017
Žiogelių gr.,lopšelio,-,18,4,2016-2017
Saulučių gr,darželio,-,24,9,2016-2017
Boružėlių gr.,darželio,-,22,7,2016-2017
Drugelių gr.,darželio,-,24,3,2016-2017
Dobiliukų gr.,priešmokyklinė,-,24,3,2016-2017
Iš viso: Kauno lopšelis-darželis „Bitutė“,6,130,32,-,
Kauno lopšelis-darželis „Žemyna“,,,,,
Javinė,lopšelio,-,16,0,2016-2017
Saulė,priešmokyklinė,-,20,14,2016-2017
Mėletėlė,priešmokyklinė,-,19,8,2016-2017
Gabija,darželio,-,22,2,2016-2017
Medeina,darželio,-,22,5,2016-2017
Aušrinė,darželio,-,19,1,2016-2017
Austėja,darželio,-,22,4,2016-2017
Guboja,darželio,-,22,2,2016-2017
Upyna,darželio,-,20,0,2016-2017
Vakarė,darželio,-,19,0,2016-2017
Iš viso: Kauno lopšelis-darželis „Žemyna“,10,201,36,-,
Kauno vaikų darželis „Rudnosiukas“,,,,,
„Ančiukų“,priešmokyklinė,-,20,20,2016-2017
„Stirniukų“,darželio,-,20,2,2016-2017
Voveriukų,darželio,-,20,0,2016-2017
„Kiškučių“,darželio,-,20,2,2016-2017
Iš viso: Kauno vaikų darželis „Rudnosiukas“,4,80,24,-,
Kauno lopšelis-darželis „Daigelis“,,,,,
Meškiukų,lopšelio,-,18,0,2016-2017
Žvirbliukų,lopšelio,-,18,0,2016-2017
Kiškučių,darželio,-,23,0,2016-2017
"Pelėdžiukų""",darželio,-,24,0,2016-2017
Ežiukų,darželio,-,24,1,2016-2017
Bitučių,priešmokyklinė,-,23,0,2016-2017
Iš viso: Kauno lopšelis-darželis „Daigelis“,6,130,1,-,
Kauno lopšelis-darželis „Klausutis“,,,,,
ZUIKUCIAI,priešmokyklinė,-,20,10,2016-2017
SAULUTĖ,lopšelio,-,15,1,2016-2017
Žirniukai,lopšelio,-,10,3,2016-2017
Boružėlės,darželio,-,20,1,2016-2017
DRUGELIAI,darželio,-,22,2,2016-2017
Bitutės,darželio,-,22,13,2016-2017
Iš viso: Kauno lopšelis-darželis „Klausutis“,6,109,30,-,
Kauno Montesori mokykla-darželis „Žiburėlis“,,,,,
Liūtuko,lopšelio,-,16,2,2016-2017
Meškučio,lopšelio,-,16,2,2016-2017
Žvaigždutės,darželio,-,25,2,2016-2017
Drugelio,priešmokyklinė,-,24,3,2016-2017
Varliuko,darželio,-,25,2,2016-2017
Boružiuko,darželio,-,23,0,2016-2017
Pelėdžiuko,priešmokyklinė,-,24,3,2016-2017
Žiniuko,priešmokyklinė,-,22,0,2016-2017
Iš viso: Kauno Montesori mokykla-darželis „Žiburėlis“,8,175,14,-,
Kauno lopšelis-darželis „Ąžuoliukas“,,,,,
Ežiukai,priešmokyklinė,-,23,2,2016-2017
Boružėlės,darželio,-,23,0,2016-2017
Nykštukai,darželio,-,23,3,2016-2017
Kiškučiai,darželio,-,22,4,2016-2017
Giliukai,darželio,-,22,7,2016-2017
Skruzėliukai,lopšelio,-,17,0,2016-2017
Iš viso: Kauno lopšelis-darželis „Ąžuoliukas“,6,130,16,-,
Kauno lopšelis-darželis „Dobilėlis“,,,,,
Boružėlės gr.,lopšelio,-,15,0,2016-2017
Saulutės gr.,darželio,-,25,6,2016-2017
Žirniukų gr.,darželio,-,25,8,2016-2017
Paukštelių gr.,darželio,-,25,6,2016-2017
Smalsučių gr.,darželio,-,25,4,2016-2017
Čiauškučių gr.,priešmokyklinė,-,25,0,2016-2017
Iš viso: Kauno lopšelis-darželis „Dobilėlis“,6,140,24,-,
Kauno lopšelis-darželis „Vaidilutė“,,,,,
Pelėdžiukas,darželio,-,20,1,2016-2017
Žemyna,darželio,-,20,2,2016-2017
Naminukas,darželio,-,20,4,2016-2017
Linelis,darželio,-,20,2,2016-2017
Bitutė,darželio,-,20,3,2016-2017
Saulutė,darželio,-,20,0,2016-2017
Kupolė,priešmokyklinė,-,20,20,2016-2017
Aitvariukas,lopšelio,-,15,3,2016-2017
Jievaras,priešmokyklinė,-,20,19,2016-2017
Boružėlė,lopšelio,-,14,1,2016-2017
Girinukas,lopšelio,-,10,0,2016-2017
Iš viso: Kauno lopšelis-darželis „Vaidilutė“,11,199,55,-,
Kauno lopšelis-darželis „Čiauškutis“,,,,,
Cypliukai,lopšelio,-,15,0,2016-2017
Vyturėliai,lopšelio,-,15,0,2016-2017
Žvirbliukai,lopšelio,-,15,0,2016-2017
Smalsučiai,darželio,-,20,0,2016-2017
Drugeliai,darželio,-,20,0,2016-2017
Kodėlčiukai,darželio,-,20,0,2016-2017
Pabiručiai,darželio,-,20,2,2016-2017
Čiauškučiai,darželio,-,20,1,2016-2017
Pelėdžiukai,darželio,-,20,0,2016-2017
Zuikučiai,priešmokyklinė,-,20,2,2016-2017
Žiniukai,priešmokyklinė,-,20,1,2016-2017
Iš viso: Kauno lopšelis-darželis „Čiauškutis“,11,205,6,-,
Kauno sanatorinis lopšelis-darželis „Pušynėlis“,,,,,
Ežiukai,darželio,-,20,1,2016-2017
Voveriukai,darželio,-,21,2,2016-2017
Girinukai,darželio,-,19,1,2016-2017
Žiogeliai,darželio,-,20,1,2016-2017
Ąžuoliukai,priešmokyklinė,-,23,23,2016-2017
Bitutės,priešmokyklinė,-,22,22,2016-2017
Saulutės,darželio,-,20,1,2016-2017
Skruzdėliukai,darželio,-,20,0,2016-2017
Drugeliai,lopšelio,-,15,0,2016-2017
Boružėlės,lopšelio,-,15,0,2016-2017
Iš viso: Kauno sanatorinis lopšelis-darželis „Pušynėlis“,10,195,51,-,
Kauno lopšelis-darželis „Varpelis“,,,,,
KIŠKUČIŲ 06,lopšelio,-,15,2,2016-2017
SKRUZDĖLYČIŲ 09,priešmokyklinė,-,20,5,2016-2017
GENIUKŲ 04,priešmokyklinė,-,20,0,2016-2017
PASAKĖLĖS 05,priešmokyklinė,-,20,0,2016-2017
BITUTĖS 10,darželio,-,19,0,2016-2017
KREGŽDUČIŲ 07,darželio,-,22,2,2016-2017
LINELIŲ 08,darželio,-,19,3,2016-2017
MEŠKUČIŲ 11,darželio,-,19,0,2016-2017
SAULUTĖS 03,darželio,-,19,0,2016-2017
VOVERAIČIŲ 01,darželio,-,19,0,2016-2017
PELĖDŽIUKŲ 02,lopšelio,-,15,0,2016-2017
Iš viso: Kauno lopšelis-darželis „Varpelis“,11,207,12,-,
Kauno lopšelis - darželis „Šarkelė“,,,,,
Pingvinukų,priešmokyklinė,-,26,26,2016-2017
Zylutės,priešmokyklinė,-,26,26,2016-2017
Gandriukų,priešmokyklinė,-,26,26,2016-2017
Vyturiukų,darželio,-,25,1,2016-2017
Dagiliukų,darželio,-,23,4,2016-2017
"Žvirbliukų	darželio	-	25	1	2016-2017
Kregždutės""",darželio,-,25,0,2016-2017
Pelėdžiukų,darželio,-,24,1,2016-2017
Geniukų,darželio,-,25,1,2016-2017
Ančiukų,darželio,-,10,8,2016-2017
Volungėlės,darželio,-,10,3,2016-2017
Gervelės,darželio,-,10,2,2016-2017
Iš viso: Kauno lopšelis - darželis „Šarkelė“,12,255,99,-,
Kauno lopšelis-darželis „Pasaka“,,,,,
Nykštukas,lopšelio,-,17,1,2016-2017
Pagrandukas,lopšelio,-,17,0,2016-2017
Sigutė,darželio,-,20,0,2016-2017
Snieguolė,darželio,-,20,1,2016-2017
Kūlverstukas,darželio,-,20,3,2016-2017
Pelenė,darželio,-,20,2,2016-2017
Batuotas katinas,darželio,-,20,2,2016-2017
Undinėlė,darželio,-,20,2,2016-2017
Raudonkepuraitė,darželio,-,20,0,2016-2017
Saulutė,priešmokyklinė,-,21,1,2016-2017
Coliukė,priešmokyklinė,-,20,0,2016-2017
Drugelis,priešmokyklinė,-,21,1,2016-2017
Iš viso: Kauno lopšelis-darželis „Pasaka“,12,236,13,-,
Kauno lopšelis-darželis „Boružėlė“,,,,,
Žiogelių,lopšelio,-,13,0,2016-2017
Saulučių,lopšelio,-,17,0,2016-2017
Ežiukų,darželio,-,22,2,2016-2017
Zuikučių,darželio,-,21,0,2016-2017
Žirniukų,darželio,-,21,0,2016-2017
Boružėlių,darželio,-,18,0,2016-2017
Bitučių,priešmokyklinė,-,22,7,2016-2017
Varpelių,darželio,-,20,6,2016-2017
Iš viso: Kauno lopšelis-darželis „Boružėlė“,8,154,15,-,
Kauno lopšelis-darželis „Kūlverstukas“,,,,,
Trepsiukai,lopšelio,-,15,0,2016-2017
Mažyliai,lopšelio,-,15,4,2016-2017
Pypliukai,lopšelio,-,15,0,2016-2017
Gudručiai,darželio,-,20,3,2016-2017
Šnekučiai,darželio,-,20,2,2016-2017
Drąsučiai,darželio,-,20,0,2016-2017
Linksmučiai,darželio,-,20,0,2016-2017
Čiauškučiai,darželio,-,20,2,2016-2017
Pabiručiai,darželio,-,20,0,2016-2017
Kodėlčiukai,priešmokyklinė,-,20,19,2016-2017
Smalsučiai,priešmokyklinė,-,20,17,2016-2017
Iš viso: Kauno lopšelis-darželis „Kūlverstukas“,11,205,47,-,
Kauno lopšelis-darželis „Šilelis“,,,,,
Mažylių grupė,lopšelio,-,15,2,2016-2017
Boružėlių grupė,lopšelio,-,15,0,2016-2017
Zuikučių grupė,darželio,-,21,1,2016-2017
Geniukų grupė,darželio,-,23,2,2016-2017
Voveriukų grupė,darželio,-,23,1,2016-2017
Smalsučių grupė,priešmokyklinė,-,23,9,2016-2017
Kodėlčiukų grupė,priešmokyklinė,-,22,22,2016-2017
Iš viso: Kauno lopšelis-darželis „Šilelis“,7,142,37,-,
Kauno Tirkiliškių mokykla-darželis,,,,,
Bitutės,darželio,-,24,3,2016-2017
Boružėlės,darželio,-,24,4,2016-2017
Drugeliai,darželio,-,24,3,2016-2017
Iš viso: Kauno Tirkiliškių mokykla-darželis,3,72,10,-,
Kauno lopšelis-darželis „Gintarėlis“,,,,,
Žvirbliukų,darželio,-,24,4,2016-2017
Meškučių,priešmokyklinė,-,25,6,2016-2017
Boružėlių,darželio,-,22,0,2016-2017
Nykštukų,darželio,-,22,2,2016-2017
Viščiukų,darželio,-,23,1,2016-2017
Drugelių,darželio,-,23,0,2016-2017
Kiškučių,priešmokyklinė,-,23,4,2016-2017
Pėlėdžiukų,darželio,-,24,0,2016-2017
Skruzdėlyčių,priešmokyklinė,-,25,8,2016-2017
Bitučių,darželio,-,22,0,2016-2017
Mažylių,lopšelio,-,16,0,2016-2017
Pelyčių,lopšelio,-,15,0,2016-2017
Iš viso: Kauno lopšelis-darželis „Gintarėlis“,12,264,25,-,
Kauno lopšelis-darželis „Nežiniukas“,,,,,
Viščiukai,lopšelio,-,15,0,2016-2017
Voveriukai,darželio,-,10,1,2016-2017
Ežiukai,darželio,-,10,0,2016-2017
Saulutės,darželio,-,11,1,2016-2017
Zuikučiai,darželio,-,24,3,2016-2017
Boružėles,darželio,-,23,4,2016-2017
Gandriukai,priešmokyklinė,-,21,2,2016-2017
Pelėdžiukai,darželio,-,21,1,2016-2017
Kačiukai,lopšelio,-,16,1,2016-2017
Iš viso: Kauno lopšelis-darželis „Nežiniukas“,9,151,13,-,
Kauno Tirkiliškių lopšelis-darželis,,,,,
",,Dobiliukai""",lopšelio,-,18,0,2016-2017
",,Želmenėliai""",darželio,-,24,0,2016-2017
",,Obelėlės""",darželio,-,25,0,2016-2017
",,Ąžuoliukai""",darželio,-,24,0,2016-2017
",,Lineliai""",priešmokyklinė,-,24,1,2016-2017
",,Rūtelės""",priešmokyklinė,-,23,1,2016-2017
