2 mokykla 2013 m. ataskaita,,
Kauno m. sav.,,
Įstaigų skaičius (su padaliniais): 75,,
"Plotai, klasės",,
Bendras patalpų plotas (kv.m),"370292,51",
Klasių kambarių bendras plotas (kv. m),"141202,36",
Klasių kambarių skaičius (įskaitant mokom. kabinetus ir laboratorijas),2638,
Integruotų gamtos mokslų laboratorijos (vnt.),0,
Biologijos laboratorijos (vnt.),9,
Chemijos laboratorijos (vnt.),14,
Fizikos laboratorijos (vnt.),11,
Bendrabučiai,,
Bendrabučių skaičius (vnt.),4,
Vietų bendrabučiuose skaičius,325,
Bendrabučių plotas (kv. m.),"4179,23",
Kitos patalpos,,
Mokomosios dirbtuvės (vnt.),105,
Sporto salė (vnt.),74,
Aerobikos salė (vnt.),16,
Atletinės gimnastikos salė (vnt.),13,
Biblioteka (vnt.),75,
Skaitykla (vnt.),57,
Valgykla (vnt.),70,
Medicinos kabinetas (vnt.),91,
Baseinas (vnt.),1,
Stadionas (vnt.),29,
Aikštynas (vnt.),37,
Aikštė (vnt.),40,
Mokyklos autobusų (mikroautobusų) skaičius,9,
Iš jų geltonųjų autobusų skaičius,2,
"Pastatymas, remontas",,
Mokyklos pastatymo metai,,
Paskutinio kapitalinio remonto metai,,
Paskutinio kapitalinio remonto kaina (Lt),"55844364,95",
Lėšos skirtos aplinkai (Lt) (2013 metų planas),65 141 610,
Kiti rodikliai,,
"Registruotas mokyklos kūno kultūros ir sporto klubas (0-ne, 1-taip)",1,
"Mokykla sistemingai taiko kokybės valdymo sistemą (0-ne, 1-taip)",61,
"Mokyklos pastatai priklauso I ar II grupei (0 - ne, bent vienam pastatui reikalingas kapitalinis remontas; 1 - taip, visi pastatai geros būklės)",17,
"Mokykla turi higienos pasą (0-ne, 1-taip)",62,
"Elektroninis dienynas (0-nenaudojamas, 1-naudojamas)",59,
Interaktyvios lentos (vnt.),208,
Mokyklos prisijungimo prie Interneto greitis Kbps,,
Kompiuteriai patalpose,,
,,Kompiuterių skaičius
Kompiuteriai patalpose,Specialiosios kompiuterių klasės ir (arba) informatikos kabinetai,1695
,Įvairių dalykų kabinetai ir klasės,2399
,Mokyklos biblioteka ir skaitykla,468
,Mokytojų kambarys,152
,Kitos tik mokytojams skirtos patalpos,265
,Mokyklos administracijos kabinetai,646
,Kitos mokyklos patalpos,486
Iš viso kompiuterių,,6111
Kompiuterių paskirtis,,
Naudojamų mokinių mokymui iš viso,3336,
Naudojamų 1-4 klasių mokinių mokymui,816,
Naudojamų 5-8 klasių mokinių mokymui,2000,
Naudojamų 9-10 ir gimnazijos I-II klasių mokinių mokymui,2161,
Naudojamų 11-12 ir gimnazijos III-IV klasių mokinių mokymui,1729,
"Serverių (atskirų, serverių funkcijoms atlikti skirtų kompiuterių)",78,
Prijungtų prie Interneto,5334,
Prijungtų prie Intraneto,2320,
Dirbančių mokyklos tinkle,4352,
Nešiojamieji kompiuteriai,1169,
Kompiuterizuotos mokytojų darbo vietos (tik mokytojams skirtos darbo vietos),1275,
Gauti kompiuteriai,,
,,Gauta kompiuterių per 2012/2013 mokslo metus (vnt.)
Už kokias lėšas įsigyta,"Valstybės (įskaitant sutaupytas mokinių krepšelio lėšas, ES fondų lėšas)",299
,Steigėjo,146
,Rėmėjų,62
Iš viso gauta kompiuterių,,507
