2 mokykla 2017 m. ataskaita,,
Kauno m. sav.,,
Įstaigų skaičius (su padaliniais): 71,,
"Plotai, klasės",,
Bendras patalpų plotas (kv.m),"343202,24",
Klasių kambarių bendras plotas (kv. m),"130883,86",
Klasių kambarių skaičius (įskaitant mokom. kabinetus ir laboratorijas),2393,
Integruotų gamtos mokslų laboratorijos (vnt.),3,
Biologijos laboratorijos (vnt.),10,
Chemijos laboratorijos (vnt.),16,
Fizikos laboratorijos (vnt.),11,
Bendrabučiai,,
Bendrabučių skaičius (vnt.),4,
Vietų bendrabučiuose skaičius,279,
Bendrabučių plotas (kv. m.),"4085,23",
Kitos patalpos,,
Mokomosios dirbtuvės (vnt.),96,
Sporto salė (vnt.),70,
Aerobikos salė (vnt.),19,
Atletinės gimnastikos salė (vnt.),16,
Biblioteka (vnt.),71,
Skaitykla (vnt.),48,
Valgykla (vnt.),66,
Medicinos kabinetas (vnt.),74,
Baseinas (vnt.),1,
Stadionas (vnt.),27,
Aikštynas (vnt.),42,
Aikštė (vnt.),47,
Mokyklos autobusų (mikroautobusų) skaičius,13,
Iš jų geltonųjų autobusų skaičius,5,
Mokyklos muziejus (vnt.),20,
"Pastatymas, remontas",,
Mokyklos pastatymo metai,,
Paskutinio kapitalinio remonto metai,,
Paskutinio kapitalinio remonto kaina (Eur),"13.697.785,72",
Lėšos skirtos aplinkai (Eur) (2017 metų planas),"20.619.261,43",
Kiti rodikliai,,
"Registruotas mokyklos kūno kultūros ir sporto klubas (0-ne, 1-taip)",1,
"Mokykla sistemingai taiko kokybės valdymo sistemą (0-ne, 1-taip)",62,
"Mokyklos pastatai priklauso I ar II grupei (0 - ne, bent vienam pastatui reikalingas kapitalinis remontas; 1 - taip, visi pastatai geros būklės)",26,
"Mokykla turi higienos pasą (0-ne, 1-taip)",64,
"Elektroninis dienynas (0-nenaudojamas, 1-naudojamas)",66,
Interaktyvios lentos (vnt.),291,
Daugialypės terpės projektoriai (vnt.),1.51,
"Mokykloje veikia belaidžio (Wi-Fi) interneto tinklas (0-neveikia, 1-veikia)",66,
"Mokykla naudoja virtualią mokymosi aplinką* (0-nenaudoja, 1-naudoja)",25,
"Mokykla turi higienos pasą (pagal higienos normą HN75:2010)** (0-ne, 1-taip)",47,
"Mokykla įgyvendina etninės kultūros ugdymo metodines rekomendacijas ar bendrąsias programas (0-ne, 1-taip)",45,
Kompiuteriai patalpose,,
,,Kompiuterių skaičius
Kompiuteriai patalpose,Specialiosios kompiuterių klasės ir (arba) informatikos kabinetai,2634
,Įvairių dalykų kabinetai ir klasės,2767
,Mokyklos biblioteka ir skaitykla,511
,Mokytojų kambarys,127
,Kitos tik mokytojams skirtos patalpos,184
,Mokyklos administracijos kabinetai,639
,Kitos mokyklos patalpos,605
Iš viso kompiuterių,,7467
Kompiuterių paskirtis,,
Iš visų kompiuterių,Naudojamų mokinių mokymui iš viso,4159
,"Serverių (atskirų, serverių funkcijoms atlikti skirtų kompiuterių)",77
,Prijungtų prie Interneto,6959
,Nešiojamieji kompiuteriai,1515
,Kompiuterizuotos mokytojų darbo vietos (tik mokytojams skirtos darbo vietos),1354
,Planšetiniai kompiuteriai,1.813
,4 metų ir senesni,4.33
,Naudoja Windows operacinę sistemą,6.605
Gauti kompiuteriai,,
,,Gauta kompiuterių per 2016/2017 mokslo metus (vnt.)
Už kokias lėšas įsigyta,"Valstybės (įskaitant sutaupytas mokinių krepšelio lėšas, ES fondų lėšas)",279
,Steigėjo,417
,Rėmėjų,191
Iš viso gauta kompiuterių,,887
Mokyklos Interneto greitis,,
,,Žymėjimas
Interneto greitis,mokykla neturi Interneto,1
,iki 30 Mbps,6
,nuo 30 Mbps iki 100 Mbps,42
,100 Mbps ir daugiau,20
"Kiek mokykloje yra kompiuterių, kuriais mokiniai gali naudotis mokymo(si) tikslais ir kurių techniniai parametrai yra tokie",,
,,Kompiuterių skaičius
Kompiuterių techniniai parametrai,"Procesoriaus greitis MHz – 1500 arba didesnis, Operacinė sistema – Windows XP, Operatyvinė atmintis  – nuo 500 MB iki 1GB",223
,"Procesoriaus greitis MHz – 1500 arba didesnis, Operacinė sistema – Windows XP, Operatyvinė atmintis  – 1GB arba daugiau",329
,"Procesoriaus greitis MHz – 1500 arba didesnis, Operacinė sistema – Windows VISTA, Windows 7, 8 ar 10, Operatyvinė atmintis  – nuo 1GB iki 2GB",877
,"Procesoriaus greitis MHz – 1500 arba didesnis, Operacinė sistema – Windows VISTA, Windows 7, 8 ar 10, Operatyvinė atmintis  – 2GB arba daugiau",3.912
"*Mokinių ugdymui naudojama virtuali mokymosi aplinka (MOODLE, ItsLearning, Edmodo ir kt.)",,
**Jeigu įstaiga daugiau kaip 4 val. vykdo ikimokyklinį ir (ar) priešmokyklinį ugdymą,,
