2 mokykla 2014 m. ataskaita,,
Kauno m. sav.,,
Įstaigų skaičius (su padaliniais): 75,,
"Plotai, klasės",,
Bendras patalpų plotas (kv.m),"368779,44",
Klasių kambarių bendras plotas (kv. m),"138887,25",
Klasių kambarių skaičius (įskaitant mokom. kabinetus ir laboratorijas),2667,
Integruotų gamtos mokslų laboratorijos (vnt.),0,
Biologijos laboratorijos (vnt.),9,
Chemijos laboratorijos (vnt.),14,
Fizikos laboratorijos (vnt.),13,
Bendrabučiai,,
Bendrabučių skaičius (vnt.),4,
Vietų bendrabučiuose skaičius,325,
Bendrabučių plotas (kv. m.),"4179,23",
Kitos patalpos,,
Mokomosios dirbtuvės (vnt.),99,
Sporto salė (vnt.),76,
Aerobikos salė (vnt.),17,
Atletinės gimnastikos salė (vnt.),17,
Biblioteka (vnt.),76,
Skaitykla (vnt.),56,
Valgykla (vnt.),70,
Medicinos kabinetas (vnt.),92,
Baseinas (vnt.),1,
Stadionas (vnt.),24,
Aikštynas (vnt.),45,
Aikštė (vnt.),40,
Mokyklos autobusų (mikroautobusų) skaičius,10,
Iš jų geltonųjų autobusų skaičius,3,
"Pastatymas, remontas",,
Mokyklos pastatymo metai,,
Paskutinio kapitalinio remonto metai,,
Paskutinio kapitalinio remonto kaina (Lt),"49021133,09",
Lėšos skirtos aplinkai (Lt) (2014 metų planas),69.455.220,
Kiti rodikliai,,
"Registruotas mokyklos kūno kultūros ir sporto klubas (0-ne, 1-taip)",2,
"Mokykla sistemingai taiko kokybės valdymo sistemą (0-ne, 1-taip)",65,
"Mokyklos pastatai priklauso I ar II grupei (0 - ne, bent vienam pastatui reikalingas kapitalinis remontas; 1 - taip, visi pastatai geros būklės)",22,
"Mokykla turi higienos pasą (0-ne, 1-taip)",64,
"Elektroninis dienynas (0-nenaudojamas, 1-naudojamas)",64,
Interaktyvios lentos (vnt.),217,
Daugialypės terpės projektoriai (vnt.),940,
"Mokyklos prisijungimo prie Interneto greitis 512 Kbps ir daugiau (0-ne, 1-taip)",67,
"Mokykloje veikia belaidžio (Wi-Fi) interneto tinklas (0-neveikia, 1-veikia)",60,
"Mokykla naudoja virtualią mokymosi aplinką* (0-nenaudoja, 1-naudoja)",17,
Kompiuteriai patalpose,,
,,Kompiuterių skaičius
Kompiuteriai patalpose,Specialiosios kompiuterių klasės ir (arba) informatikos kabinetai,1686
,Įvairių dalykų kabinetai ir klasės,2493
,Mokyklos biblioteka ir skaitykla,475
,Mokytojų kambarys,134
,Kitos tik mokytojams skirtos patalpos,210
,Mokyklos administracijos kabinetai,649
,Kitos mokyklos patalpos,383
Iš viso kompiuterių,,6030
Kompiuterių paskirtis,,
Iš visų kompiuterių,Naudojamų mokinių mokymui iš viso,3409
,"Serverių (atskirų, serverių funkcijoms atlikti skirtų kompiuterių)",79
,Prijungtų prie Interneto,5534
,Nešiojamieji kompiuteriai,1192
,Kompiuterizuotos mokytojų darbo vietos (tik mokytojams skirtos darbo vietos),1336
,Planšetiniai kompiuteriai,251
,4 metų ir senesni,3.589
,Naudoja Windows operacinę sistemą,5.741
Gauti kompiuteriai,,
,,Gauta kompiuterių per 2013/2014 mokslo metus (vnt.)
Už kokias lėšas įsigyta,"Valstybės (įskaitant sutaupytas mokinių krepšelio lėšas, ES fondų lėšas)",241
,Steigėjo,71
,Rėmėjų,92
Iš viso gauta kompiuterių,,404
"*Mokinių ugdymui naudojama virtuali mokymosi aplinka (MOODLE, ItsLearning, Edmodo ir kt.)",,
